sentence,sentiment
fact rallies over 7 on rs 900 crore revival plan,1
higher supply drags down chana futures 0 40,2
us stocks hold near record levels,0
jimmy choo narrows ipo price range to 140 160 pence a share sources,0
double whammy for bhel project delays fall in order inflow a worry,2
aria this is the reason why shorts don t show up long steady small climbs the best way to accrue value imo,1
following the impact the altima hit a utility pole causing a live electric line to fall onto the roadway,0
sterling steadies after scottish referendum debate wobble,0
addus services include personal care and assistance with activities of daily living skilled nursing and rehabilitative therapies and adult day care,0
build defensive portfolio in volatile markets hdfc standard life insurance,0
bank on the lenders for superb returns in 2016,0
see great valuations in indian markets currently arindam ghosh blackridge capital advisors,0
blue star profit up 36 per cent at rs 31 01 crore in q1,1
radio mirchi net soars 59 4 revenue up 12 3 in september quarter,1
mid caps now turn into market darlings,1
brent crude falls below 84 on global growth concerns,2
handelsbanken ranked before local cooperative banks and aktia in customer loyalty this time too however,1
the revenues of the business reached nok 12 million for 2008,0
brent edges above 95 on relief over china pmi,1
regulatory tax pressures likely to hit itc volumes,2
cbi must apologise if enquiry fails says former sebi chairman cb bhave,0
mxwl oh snap just went long again lt,1
cardamom futures down 0 33 on profit booking,2
festive season demand lifts crude palm oil futures by 1 10,1
grasim preferred pick among cement names ambareesh baliga,1
nitin fire surges as amitabh bachchan buys 0 51 stake,1
scooters india rally on disinvestment reports,1
ceos of bpm ubi meet italy econ minister as m a talk heats up,1
government bond market doesnt need fixing says raghuram rajan governor rbi,0
lanco infratech board to consider compulsory convertible debentures issuance next week,0
sell cnx it with a target of rs 9650 mitesh thacker,2
tax free bonds regain demand in the secondary market,1
satama s net profit for the third quarter of 2007 rose to 275 000 euro 395 000 from 270 000 euro 388 000 for the same period of 2006,1
defensive stocks top gainers on dalal street,1
gold offtake slows as consumers expect price correction despite global uptrend,2
titagarh wagons a bit too steep to get into prakash diwan,2
automotive stampings to raise rs 29 cr via rights issue,1
brokers say buy even as sobha developers slips post q1 results,1
reed exhibitions looks to expand in india,0
finnish media group talentum has issued a profit warning,2
tesco share price dips as blinkbox books closes ending supermarket s digital,2
efore s results for the last quarter showed an even faster improvement as the company managed to better source its components,1
like zee entertainment in media space mehraboon irani,1
despite early chill 2014 to be hot year for equities deutsche,0
pnb raises rs 500 crore through bonds,1
oberoi realty ipo price band quite stretched swastika,0
jain irrigation rallies post q4 results net profit up 31,1
draghi drives euro to 4 1 2 year low,2
alok sinha takes over as new airports authority of india chief,0
external net sales from the printing business fell by 43 7 partly due to the termination of the printing contract between ilkka yhtyma s printing house i print oy and sector player hss media ab in december 2009 and the fall in printing prices,2
okhta center area is expected to have about 700 000 square metres of office premises by 2016,0
potato futures fall 2 58 pc on sluggish demand,2
according to the act universities can now acquire private funding,0
sell tcs ltd with a target of rs 2020 shrikant chouhan,2
man infra has fallen a lot deepak mohoni,2
opto circuits q4 net profit up 68 at rs 111 05 crore,1
the ship cranes which will be manufactured by macgregor s partner plants in china will be delivered between 2008 2010 for vessels ordered by chinese cosco german peter dohle and hong kong based cido shipping,0
jet airways sustained efforts promise good results ahead risks persist,1
glaxosmithkline consumer hits 52 week high on expansion plans,1
hul puts south mumbai building on block stk up,1
jgbs steady at lofty levels as stocks slump,0
the share sale to foreign and finnish investors is expected to raise some euro300 million us 380 million,0
ibm india sacks executives for fraud,0
finnish bank of land s consolidated net operating profit increased from eur 4 8 mn in the first quarter of 2005 to eur 6 4 mn in the first quarter of 2006,1
10 15 per cent upside still left in infosys could touch 3800 levels rajen shah,1
f o nifty may face resistance at 5370 5400,0
maize futures fall over 2 per cent,2
shanghai shares up more than 5 in roller coaster day,1
rbl bank plans to launch ipo in next three quarters,0
5546 key level for nifty today ashwani gujral,0
nickel softens on global cues,2
market likely to drift sideways ashwani gujral,0
twtr sad the only thing to move this is a takeover rumor only to be sold off next day,2
bob net up 17 5 on low tax provision npa,1
audit panel suggests ril can recover 160 8 million cost in kg d6 stock up,1
profit for the period was eur 5 9 mn up from eur 1 3 mn,1
texas pacific group s india md resigns,0
uptick in spot demand lifts sugar futures 2 22,1
elisa ceo sami seppanen said emt s slogan best coverage across estonia clearly gives misleading information to consumers,2
asian shares fall as malaysia jet downing hits sentiment,2
indiabulls real estate shares see rs 53 crore bulk deals,1
welspun india q4 net profit jumps 83 to rs 98 66 crore,1
analysts advise cutting longs as nifty seen slipping to 8500 8600,2
sundaram fasteners q4 profit jump 67 4 per cent,1
in this case the effect would be negative in finland,2
mt educare ipo oversubscribed 1 22 times on day 2,0
sell yes bank ltd with target price of rs 290 ashwani gujral,2
china stocks close mixed ahead of connector launch,0
pcln back to back intraday reversals look out below shorts moving in,2
it operates under three distinct brands united supermarkets market street and united supermercado,0
150 has been strong resistance for everest kanto sanjeev agarwal,2
via the move the company aims annual savings of some eur 3 million usd 4 3 m the main part of which are expected to be realized this year,1
maximise returns go for gold etfs this diwali,1
for the full 2010 the company expects its net sales and operating result to improve from the previous year saying that a positive operating result and its amount will depend on the order intake by the end of the summer,1
insurance policies should be simple,0
the broker started upm kymmene stora enso and sappi with equal weight recommendations and holmen and norske skog with underweight ratings,0
sesa net at rs 1 62k crore hopes to resume mining post monsoon,1
the announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for texas instrument chips which use qualcomm patented technology,2
jbm auto q1 net profit jumps over 5 fold to rs 21 crore,1
investors hopeful of government reviving tax free bonds,0
sell sun pharma with target price of rs 570 mitesh thacker,2
sun tv shares fall about 6 as earnings lag estimates,2
tata motors appoints gajendra chandel as chro,0
it includes options for additional 30 communal building sites as well as construction supervision works for all construction sites,0
after a long unprofitable period the food division posted a profitable result which speaks of a healthier cost structure and a new approach in business operations rihko said,1
mecklai financial report october 7 2014,0
abbott labs up 100 in 15 months still not expensive mehraboon irani,1
mika stahlberg vp f secure labs said we are excited and proud that f secure has been recognized by av comparatives as the product of the year,1
markets remain in consolidation mode ashwani gujral,0
pick up in india demand to pump up tata steel profits,1
nifty resumes uptrend ends above 6 150 on global cues,1
hotel leela gains 4 5 on completion of goa property sale,1
novartis india surges 20 as parent company strikes 15 billion deal with gsk lilly,1
the company has decided to stop the operations of ruukki construction division in latvia and lithuania and concentrate the production and logistics in parnu estonia in 2009,0
altimo and teliasonera said yesterday that usmanov would be welcome to join the new company,1
nse cnx it index to have 10 stocks from may 29,0
tokyo stocks close at new seven year high,1
six key takeaways for market from rbi money policy review,0
hong kong shares end at 2 month low amid policy uncertainty,2
battery companies an interesing prospect in the coming days ajay bagga,0
corp bank q2 net jumps 10 fold to rs 160 crore,1
due to pirkka beer olvi s brewery in iisalmi is moving to 7 day 24 hour work shifts,0
nhpc timely completion of projects crucial for company,0
chilli futures fall 1 54 pc on sluggish demand,2
price of molasses spikes on cane shortage fears,2
easing gold imports positive for jewellery companies david pezarkar,1
page industries is not an investment bet now rajat bose,2
bnp paribas launches first equity index linked green bond,0
airlines tumble on paris attack as asia stocks retreat,2
currently the terminator lures are produced in a subcontract facility in mexico but the manufacturing will be transferred to rapala s factory in shenzhen china,0
mt educare fixes price band at rs 74 80 per share,0
sudden optimism about iphone sales i e not as bad as expected gives apple aapl a lift,1
gold steady on safe haven demand from ukraine tensions,0
componenta is a metal sector company with international operations and production plants located in finland the netherlands sweden and turkey,0
a total of 750 330 new citycon shares with a nominal value of eur 1 35 per share were subscribed in december exercising the a b c options based on the company s stock option plan 1999,0
sensex sinking to 20k blame the us not china and rbi,2
sales of mid strength beer decreased by 40,2
rallying auto stocks still a buy experts,1
sks microfinance gains on securitization deal,1
no blind spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video,0
mfs jive to the turnaround beat on d street,1
gold drops on stockists selling weak global cues,2
equities to offer best returns in over 3 months,1
auto is the sector to be in prakash diwan,1
to check them out or to make a bid they will be in the deka showroom fortitude valley,0
polaris can be a little volatile both ways deepak mohoni,2
initial target for tata elxsi seen at rs 320 ventura,0
wns q4 net profit at 13 4 million,0
fii buying in v mart retail crosses limit no further purchase,2
adag pack fires up after ambani brothers seal rs 1200 crore telecom deal,1
why is bajaj auto subdued despite order for 1 25 lakh bikes,2
companie q2 sales growth at 4 quarter low,2
it major tcs outshines again beats expectations with 4 1 q1 sales growth,1
zacl q2 net profit falls 86 to rs 3 12 crore,2
markets looking at levels of 5550 5600 ambareesh baliga way2wealth brokers pvt ltd,0
halonen s office acknowledged receiving the letter but declined comment,0
nifty unlikely to get past the 7550 7560 mark ashwani gujral,0
in future the company intends to look for know how from outside the company and to cooperate with other actors in the sector,1
gold declines to 1 week low as fed seen cutting more stimulus,2
gillette india q1 net up 16 57 per cent at rs 17 68 crore,1
moser baer q3 net profit up at rs 3 23 cr,1
slow asian demand despite multi year low gold prices,2
intercontinental hotels first quarter global room revenue lags estimates,2
firstsource may appreciate between 40 80 in next nine months mehraboon irani,1
shanthi gears q4 net jumps 91 4 to rs 3 67 crore,1
basware corporation stock exchange release august 31 2010 at 16 25 basware signed a large deal with an international industrial group basware will deliver invoice automation solution and connectivity services to an international industrial group,1
march series may expire at 6 600 6 650 vishal kshatriya edelweiss,0
s nasdaq omx geo1v gypsii business unit developers of the award winning gypsii mobile social networking application today announced its availability as a free download via the samsung mobile applications store,0
rbl bank to raise about rs 500 cr from ipo in q4 fy15,0
government allows investing 5 per cent of epfo corpus in stock markets,0
aditya birla nuvo to have good going ahead deepak mohoni,1
forward markets commission steps up vigil to curb volatility on ncdex and mcx,0
nothing much happening on nifty ashwani gujral,2
asset reconstruction company appoints sanjay jain as president coo,0
tata communications slips over 2 per cent post q4 results,2
relief temporary for dlf analysts advise investors to avoid long bets,0
recommend short term trading in psu banks g chokkalingam,2
asian markets tokyo stocks open 0 28 lower,2
orion s net profit for the third quarter of 2007 decreased to 36 5 mln euro 52 1 mln from 40 3 mln euro 57 5 mln a year earlier,2
from 30k to 27k top 5 reasons why there is more pain ahead for sensex,2
kraft cadbury s and britvic in total recall how pulling a product affects profit,2
sahara to give fresh title deeds for assets worth rs 20 000 crore,0
call writers mowed down by market move up,1
maize futures gain 2 68 per cent,1
angel starts til with buy targets 823 rupees,1
the contracts awarded to date in connection with the system amount to a total eur 36 million,0
jagran prakashan has good triggers over the next one year pankaj pandey,1
nifty likely to test its 200 dma of 8 250 ashwani gujral,0
ultratech cement allots 658 shares to employees under esop,0
the company s annual loss amounted to eek 18mn compared to a profit of eek 7 3 mn in 2008,2
metropolitan stock exchange eyes rs 118 crore via rights issue,0
no stock limits on commodities in regulated warehouses fmc,0
bond issuers seek better pricing after rbi rate cut rethink offers,0
sluggish growth seen in auto ancillary space over next two quarters jitendra sriram,2
all action on 30 stocks in sensex small and mid caps ignored,2
westlife raises rs 180 cr via preferential issue of shares,1
liquor stocks hit on bihar alcohol ban but analysts not worried,2
asian markets flat after holiday thinned us session,0
look beyond annual contracts in commodity buying,0
the order is included in metso s fourth quarter 2007 order backlog,0
farmers reap a tidy profit as turmeric prices shoot up,1
qcor a little pullback is fine but if this erases all of todays gains i cannot believe the manipulation its capable of,2
cencorp s net sales in the first quarter is estimated to be eur0 9 1 2 m as compared to eur4 5 m in the first quarter 2008,2
the pretax profit of the group s life insurance business increased to eur 36 million from eur 27 million,1
itnl likely to improve revenue visibility on new road projects diversified orders,1
anant goenka promoted as ceat md,0
internet business news 1995 2006 m2 communications ltd as part of a drive to protect users of its internet banking service barclays bank has announced that it is to recommend f secure internet security to its customers,0
after barclays and bank of america citigroup has blockchain in sight,1
sri lankan stocks at over three week high on banks diversified shares,1
marks spencer s appoint venu nair as india operations head,0
dollar edges down in asia trade,2
guarseed futures decline on mounting stocks weak export,2
sensex under pressure a day ahead of june f o expiry top 20 trading bets,2
a worm set to activate friday will corrupt documents using the most common file types including,0
earnings season is here again top stocks that can lead market rally,0
gopal vittal to be managing director at bharti airtel,0
oberoi realty look at it only from a long term perspective,0
sell bharat forge with a target of rs 1100 mitesh thacker,2
srf rallies 20 hits 52 week high as q1 net profit doubles to 99 crore,1
proceed cautiously in larsen toubro jagdish malkani,2
kesoram industries seeks shareholders nod to raise up to rs 650 crore,0
genpact q1 net up 8 3 per cent at 50 6 million,1
fears of a rate hike by us federal reserve and rupee depreciation make investors jittery,2
marico posts 28 per cent jump in q1 net profit to rs 238 crore,1
base metals remain weak on global cues,2
the whitehall street real estate funds invest in real estate and real estate related assets principally through the acquisition of real estate companies real property and mortgage loans,0
palm oil eases after greece rejects bailout terms,2
credit 20 november 2009 finnish glass technology company glaston oyj abp hel gla1v said today it concluded a eur74m revolving credit facility agreement with its core banks,1
hindalco industries can easily reach 133 levels rajat bose,1
macro headwinds are against the auto stocks vikas khemani edelweiss securities ltd,2
11 new entities seek membership of ncdex forward segment,0
the world of glass is coming to egypt and we invite visitors from all around the world to attend glass world exhibition 2009 register now at,0
lnt increases annual dividend target to 1 80 share from 1 70 share,1
sgx s india office to woo fund raising corporations,0
ftils warrants sale hangs in balance,0
euro hits 3 month low after german data surprise,2
the production capacity can be tripled without any major additional investments the company said,1
expect pidilite to see revival in volume growth in fy17 amit khurana,1
iob net profit down 73 81 to rs 102 crore,2
price decline likely to help cardamom export,1
fipb allows indusind bank hike fii limit to 74 stock rallies,1
ocl iron bags coal mine in auction stock surges,1
tesla issues its first model x recall tsla,2
the long term contract is global,1
tata power appoints ramesh n subramanyam as cfo,0
bse revises circuit limit for 405 stocks,0
bse to auction unused government bonds limit to foreign investors,0
vrl logistics ipo grey market premium at 38,0
auto component companies to get re rated avinnash gorakssakar,1
in the reporting period the company s operating profit grew by 43 2 to eur 6 million,1
jbf industries q1 net profit falls 60 to rs 4 crore,2
iran drops crude price to 3 year low in fight for asia market share,2
cbi has enough credible information to start probe against former sebi officials ranjit sinha,0
the negotiations will concern the plant s department producing winded roving that employs 10 people,0
facades in riga 8 march 2010 finnish construction company yit oyj hel yty1v said today that it will build the frame and the facades in a tower construction project in riga,0
budget 2014 to focus on structures to achieve decent long term performance bp singh pramerica mf,0
in sweden gallerix accumulated sek denominated sales were down 1 and eur denominated sales were up 11,0
of the company s net sales 38 was acquired in finland 21 in other european countries 40 in asia and 1 in the us,0
dhfl looks promising prakash diwan,1
thin world markets rally may run longer draw new cash,1
pre market nifty seen opening flat may reclaim 7 800 levels,0
airasia shares falls as much as 7 per cent after reporting q3 losses,2
juniper tumbles on q1 warning cisco also lower jnpr csco,2
spicejet seeks shareholders nod to hike promoters holding,0
india tea prices drop on rising supplies,2
mustardseed futures up on increased buying,1
metal space under pressure now deepak mohoni,2
m real corporation stock exchange release 27 august 2009 at 3 15 pm m real has received the eur 190 million cash payment from sappi m real corporation a part of mets liitto group divested its graphic papers business to sappi limited at the end of 2008 for eur 750 million,0
we are delighted to welcome elisa to our board of directors said garry mcguire ceo of rmg networks,1
at the same time sales development in russia was boosted by the opening of stockmann nevsky centre in st petersburg,1
kauko telko s centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and group administration by the end of the year,0
shipping corp weak freight rates remain a major concern,2
spot demand lifts crude palm oil futures,1
the objective is that trading in the shares will commence on may 2 2007,0
the respondents praised finnair s reliability finnishness and understanding of its target group,1
the dollar fell though against the pound and the yen,2
swaraj engines share price surges as company announces 330 dividend,1
hindi daily amar ujala plans to raise rs 300 via ipo next month,1
finnish swedish tietoenator is expanding its business quickly in russia,1
texmaco could give favourable returns deepak mohoni,1
the reasons behind the estimate include the rise in 2008 rent levels and several fully leased office and retail properties which were completed and added to the company s investment property portfolio,0
growth is expected to continue in 2008,1
aapl aapl gundlach slams ipad mini sees downside to 425,2
shanghai shares finish at 19 month high,1
operating profit rose to eur 4 7 mn from eur 3 6 mn,1
pc jeweller reports 47 pc drop in net profit to rs 102 80 crore,2
egypt uprising causes volatility in gulf markets,2
standard chartered axes 15 000 jobs raises 5 1 billion in capital,1
ricoh india plunges 10 on poor q1 results,2
mep infra developers ipo why it can potentially be a risky bet for retail investors,2
silver edges lower on global cues,2
rakesh sethi takes over as new cmd of allahabad bank,0
nasdaq listed yahoo inc has introduced a new service that enables malaysians to take their favorite internet content and services with them on their mobile phones,1
tesco woes drag down britain ftse 100 share index,2
net sales in 2010 were about eur 2 0 billion of which international operations accounted for roughly a quarter,0
clsa picks top 12 investment themes for 2014,0
bwld bearish engulfing candle,2
neutral on shiva cement seshadri bharathan,0
yit construction and the town of riihim ki have signed a lease contract whereby the town will occupy the travel centre office facilities,1
proha plc euronext 7327 announced today 19 may that its fully owned subsidiary safran software solutions as has agreed to sell its 49 share of safran north america llc to a sna holding as an investment group based in norway,0
sebi to tap social media for investor awareness campaigns,0
rajesh subramaniam helped firstsource execute a perfect turnaround,1
hindustan media ventures q4 net profit up 20 per cent,1
astrazeneca dec qtr net up 28 26 at rs 28 32 cr,1
world shares at 6 month low as growth worries mount,2
companieshoward davies appointment as rbs director delayed,0
the value of the contracts is about eur 3 3 mn,0
